Year,Name,FIREID,FIRE_NAME,CAUSE,CAL_YEAR,DECADE,Acres,STATE,AGENCY,UNIT_ID,OWNER,SDATE,ODATE,BOUNDARY,ACRES_GIS,UNIQUE_,REC,LOCATION,UNIT,SUBUNIT,DATE_,DATA_DATE,CLASS,FIRE_NUM,Comments,Area,Un_ID,Shape_Leng,Shape_Area,Other.fire.name,Other.fire.year,Prescribed.burn.name,Prescribed.burn.year
2015,ROSS4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSS4047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR3032,,,Lightning,1926,1920,44434.07829,WA,NPS,NCP,,,,,44434.07813,,,,,,1926-07-04,1999-11-30,G,,,179818335.1,,110140.8499,179818335.1,,,,
2015,BBCR3028,,,Lightning,1926,1920,44434.07829,WA,NPS,NCP,,,,,44434.07813,,,,,,1926-07-04,1999-11-30,G,,,179818335.1,,110140.8499,179818335.1,,,,
2015,BBCR6075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR3030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR6077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BBCR3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
