Resurvey.Year,2015.Plot.Name,1980.Plot.Name,Latitude,Longitude,2015.Elevation.m
2015,ROSS4045,4045,48.75899,-121.01142,686
2015,ROSS4043,4043,48.77073,-121.02681,522
2015,ROSS4041,4041,48.76758,-121.02908,531
2015,ROSS4037,4037,48.77232,-121.03577,514
2015,ROSS4039,4039,48.77048,-121.03171,528
2015,ROSS4049,4049,48.75209,-121.01009,730
2015,ROSS4051,4051,48.74533,-121.01085,777
2015,ROSS4047,4047,48.75274,-121.01104,713
2015,BBCR3032,3032,48.78304,-121.07722,529
2015,BBCR3028,3028,48.78908,-121.08116,539
2015,BBCR6075,6075,48.80994,-121.1638,607
2015,BBCR6071,6071,48.81251,-121.17931,616
2015,BBCR3030,3030,48.80013,-121.10643,529
2015,BBCR6077,6077,48.80367,-121.12795,553
2015,BBCR6073,6073,48.80935,-121.16915,570
2015,BBCR3034,3034,48.804413,-121.135188,511
2015,ROSS3048,3048,48.74236,-121.05636,593
2015,ROSS3046,3046,48.74461,-121.04327,630
2015,ROSS4001,4001,48.75378,-121.03062,537
2015,ROSS3044,3044,48.7588,-121.03985,605
2015,ROSS3042,3042,48.77108,-121.06889,590
2015,ROSS3036,3036,48.77705,-121.05984,558
2015,ROSS3040,3040,48.77438,-121.06618,522
2015,ROSS4001REF,4001,48.74877,-121.03737,616
2015,HB5148,5148,48.45824,-120.83835,871
2015,BRCR5154,5154,48.45163,-120.85244,875
2015,BRCR5156,5156,48.44254,-120.86369,811
2015,BRCR5128,5128,48.43329,-120.87115,685
2015,COT5143,5143,48.45184,-120.98038,812
2015,COT5145,5145,48.4509,-120.96599,805
2015,COT5141,5141,48.45143,-120.98933,852
2015,BRCR5147,5147,48.44664,-120.94338,756
2015,BRCR5142,5142,48.43559,-120.87373,709
2015,BRCR5126,5126,48.43424,-120.91614,830
2015,HB5146,5146,48.45761,-120.83999,857
2015,STE2098,2098,48.32906,-120.69949,376
2015,HB5158,5158,48.42553,-120.82553,659
2015,HIBR5160,5160,48.39343,-120.84525,548
2015,STE2050,2050,48.36897,-120.75068,408
2015,HB2068,2068,48.37327,-120.85091,619
2015,STE2084,2084,48.34637,-120.75427,779
2015,STE2096,2096,48.32316,-120.69228,357
2015,STE2094,2094,48.30544,-120.69392,720
2015,STE2092,2092,48.30348,-120.69582,761
2015,STE2070,2070,48.37824,-120.84105,560
2015,STE2024,2024,48.36269,-120.6906,938
2015,STE2072,2072,48.32478,-120.77933,965
2015,STE2090,2090,48.34626,-120.72459,383
