"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACCI",1,72,58,"No","Unavg","Mod.15",1.92061118575009,0.165841792002853,0.245193881681994,-2.53838911788208,0.00746026590776573,-6.21746186745406e-06,-0.121359522054826,-0.000269489359402305,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg","Mod.6",0.155268647260982,0.400897403490636,0.241939691915208,-2.59215938571371,0.00729894807554501,-6.18555888307157e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg","Mod.7",0,0.433260804506511,0.245078272792767,-2.44080756975327,0.00731146572675171,-6.19941019525826e-06,-0.314787127707714,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Avg",NA,NA,NA,NA,-2.5176672185935,0.00733112472155486,-6.19685096183328e-06,-0.15651140481312,-4.46925982889792e-05,0,0,0,0,0,0,0
"ACGL",1,15,14,"No","Unavg","Mod.6",0,0.727898138210292,0.0651197343902853,-4.00012116050012,0.00389152325790849,-2.74298776290735e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg","Mod.7",1.96796926060162,0.272101861789708,0.0652507445185456,-3.96611256278945,0.00389066361584039,-2.74257788755581e-06,-0.0684237155118151,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg",NA,NA,NA,NA,-3.99086735774619,0.00389128934770129,-2.7428762350611e-06,-0.0186182203813342,0,0,0,0,0,0,0,0
"ACMI",1,10,20,"Yes","Unavg","Mod.13",0,0.541419890147714,0.115780254955134,-2.65066889243633,-0.000918747914154098,NA,NA,NA,NA,1.77870600732455,-2.79367588667398,0.000682995502885391,0.00254867230652564,NA,NA
"ACMI",1,10,20,"Yes","Unavg","Mod.15",1.77224191478646,0.223201322902342,0.116688217117781,-3.08403070503471,6.53602763647918e-05,-4.59213863613724e-07,NA,NA,NA,1.73216186654112,-3.04632028603626,0.000768167584890056,0.00275925524029678,NA,NA
"ACMI",1,10,20,"Yes","Unavg","Mod.4",1.66599807802018,0.235378786949943,0.0852196002708361,-3.58073729543893,NA,NA,NA,NA,NA,2.44575736259999,0.210311572444472,NA,NA,NA,NA
