"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACCI",1,72,58,"No","Unavg",0,0.433260804506497,0.245078272792766,-3.37897981400261,-92.1959470204644,-34.9999918801807,-0.314787127707713,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg",0.155268647260868,0.400897403490646,0.241939691915208,-3.52400422193607,-91.9402116606128,-34.9217915677646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg",1.92061118574998,0.165841792002857,0.245193881681994,-3.3379931486079,-90.8032910618312,-35.1019061527287,-0.419992857593412,-3.51071767854363,NA,NA,NA,NA,NA,NA,NA
"ACCI",1,72,58,"No","Avg",NA,NA,NA,-3.43032242054862,-91.862462818896,-34.985543223571,-0.206037292330626,-0.582223711025786,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg",0,0.727898138210292,0.0651197343902853,-3.68773148577842,-32.240602392869,-15.486077934095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg",1.96796926060162,0.272101861789708,0.0652507445185456,-3.6540777923895,-32.239408265775,-15.48376390203,-0.0684237155118158,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg",NA,NA,NA,-3.67857425315119,-32.2402774686635,-15.4854482816619,-0.0186182203813344,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg",0,0.541419890147714,0.115780254955134,-3.6687749680583,-11.9688011114786,NA,NA,NA,NA,2.53556418397721,0.030623053294015,8.89758464550753,33.2023087782733,NA,NA
"ACMI",1,10,20,"Yes","Unavg",1.66599807802018,0.235378786949943,0.0852196002708361,-3.58073729543893,NA,NA,NA,NA,NA,2.44575736259999,0.210311572444472,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg",1.77224191478646,0.223201322902342,0.116688217117781,-3.68125419095704,-13.0332641331194,-2.59258235727645,NA,NA,NA,2.58340307560823,0.0113351176490849,10.0071465765438,35.9456350084057,NA,NA
"ACMI",1,10,20,"Yes","Avg",NA,NA,NA,-3.65083814653105,-9.38918877922451,-0.578667811877376,NA,NA,NA,2.52510326719984,0.0686128262084777,7.05093765571289,25.9995036578241,NA,NA
"AMAL",1,42,42,"No","Unavg",0,0.731009720851806,0.112665295042939,-2.71461013098118,-41.2073404507919,-18.4035264225682,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMAL",1,42,42,"No","Unavg",1.99950303145386,0.268990279148194,0.112666245455689,-2.71728325888075,-41.2075680484831,-18.4037693656389,0.00534087365237456,NA,NA,NA,NA,NA,NA,NA,NA
"AMAL",1,42,42,"No","Avg",NA,NA,NA,-2.71532917640108,-41.2074016723584,-18.4035917718926,0.00143664309464747,NA,NA,NA,NA,NA,NA,NA,NA
