"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACCI",1,72,58,"No","Avg.Confidence",-4.37549601418384,-123.097115005451,-51.0902233827511,-0.763381967112662,-10.8822146318539,NA,NA,NA,NA,NA,NA,NA,-2.4851488269134,-60.627810632341,-18.8808630643908,0.351307382451411,9.71776720980234,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg.Confidence",-4.36970270779032,-54.9117524327521,-32.3232366262976,-0.414765848253648,NA,NA,NA,NA,NA,NA,NA,NA,-2.98744579851207,-9.56880250457486,1.35234006297387,0.377529407490979,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Avg.Confidence",-4.32994235490112,-29.0984797242313,-6.10819665496524,NA,NA,NA,1.50525820039264,-0.93468147019446,-17.0765565237552,-11.0735563126725,NA,NA,-2.97173393816098,10.3201021657823,4.95086103121049,NA,NA,NA,3.54494833400703,1.07190712261142,31.178431835181,63.0725636283208,NA,NA
"AMAL",1,42,42,"No","Avg.Confidence",-3.20229714880482,-57.4792205723462,-29.7341173183003,-0.242546729674915,NA,NA,NA,NA,NA,NA,NA,NA,-2.22836120399735,-24.9355827723706,-7.07306622548493,0.24542001586421,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,42,29,"Yes","Avg.Confidence",-2.6030444754436,-30.7171457772494,-14.6056115366759,NA,NA,NA,-0.437396884054148,-0.999648399190844,-18.0288808371026,-6.88352239614909,NA,NA,-1.82793366595891,-4.81462000554433,3.91258352054841,NA,NA,NA,1.57327822177489,0.154795297888318,29.4796417984911,37.9668042969618,NA,NA
"ATFI",1,24,30,"No","Avg.Confidence",-3.48046398507373,-45.054737922268,-20.9536478854172,-0.301417880059853,NA,NA,NA,NA,NA,NA,NA,NA,-2.46218086472843,-13.1506021214289,5.04209137791021,0.440481684151925,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",1,32,28,"No","Avg.Confidence",-11.899060391769,57.4144319275407,-72.4748776699128,-0.453081123585967,NA,NA,NA,NA,NA,NA,NA,NA,-3.86587448849203,258.815240941786,2.85243073300722,0.328943542919507,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Avg.Confidence",-2.95490418069933,-29.0661291567869,-27.8253162464915,NA,NA,NA,-0.341781328607256,-1.75368760279141,-17.9314200813043,-16.9563834606346,-14.1525744173514,-41.0351785217663,-2.08739122421481,-0.891191716101652,-3.40559444361538,NA,NA,NA,1.77030198771994,0.11963370954111,31.4251015423968,29.0454993604005,18.5037092198823,23.4585051526207
"CEVE",1,26,23,"Yes","Avg.Confidence",-3.41140876568596,-30.361629989967,-37.1105467620838,NA,NA,NA,1.09598992500468,-1.32621597915799,-14.8586648849614,-16.7967376138575,NA,NA,-2.40159540640767,1.15915484971197,-11.4418764586256,NA,NA,NA,2.92791431344109,0.0814418604782481,21.5847861309974,26.9612533936072,NA,NA
"CHUM",1,61,49,"No","Avg.Confidence",-3.15918843253371,-70.856536167398,-41.9197870674395,-1.64732288765808,-48.5165016238935,-16.673246749225,NA,NA,NA,NA,NA,NA,-1.92012520261901,-29.5623607987341,-15.3819031027988,0.561867471321484,21.8478671186147,12.6347682064911,NA,NA,NA,NA,NA,NA
