"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod","Join"
"1","ACCI","NA","No","NA","NA","No","1.ACCI"
"1","ACGL","NA","No","NA","NA","No","1.ACGL"
"1","ACMI","No","NA","NA","NA","No","1.ACMI"
"1","AMAL","NA","No","NA","NA","No","1.AMAL"
"1","ARUV","No","NA","NA","NA","No","1.ARUV"
"1","ATFI","NA","No","NA","NA","No","1.ATFI"
"1","CAME","NA","No","NA","NA","No","1.CAME"
"1","CARU","No","NA","NA","NA","No","1.CARU"
"1","CEVE","No","NA","NA","NA","No","1.CEVE"
"1","CHUM","NA","No","NA","NA","No","1.CHUM"
"1","CLUN","NA","No","NA","NA","No","1.CLUN"
"1","COCA","NA","No","NA","NA","No","1.COCA"
"1","EPAN","No","NA","NA","NA","No","1.EPAN"
"1","GAOV","NA","No","NA","NA","No","1.GAOV"
"1","GASH","NA","No","NA","NA","No","1.GASH"
"1","GOOB","NA","No","NA","NA","No","1.GOOB"
"1","GYDR","NA","No","NA","NA","No","1.GYDR"
"1","HIAL","NA","No","NA","NA","No","1.HIAL"
"1","HODI","NA","No","Yes","NA","No","1.HODI"
"1","LIBO","NA","No","NA","NA","No","1.LIBO"
"1","MANE","NA","No","NA","NA","No","1.MANE"
"1","MEFE","NA","No","NA","NA","Yes","1.MEFE"
"1","OPHO","NA","No","NA","NA","No","1.OPHO"
"1","PAMY","No","NA","NA","NA","Yes","1.PAMY"
"1","POMU","NA","No","NA","NA","No","1.POMU"
"1","PTAQ","NA","No","NA","NA","No","1.PTAQ"
"1","RULA","NA","No","NA","NA","No","1.RULA"
"1","RUPA","NA","No","NA","NA","No","1.RUPA"
"1","RUPE","NA","No","NA","NA","No","1.RUPE"
"1","RUSP","NA","No","NA","NA","No","1.RUSP"
"1","SOSI","NA","No","NA","NA","No","1.SOSI"
"1","SPBE","NA","Yes","NA","NA","No","1.SPBE"
"1","TITR","NA","No","NA","NA","No","1.TITR"
"1","TRBO","NA","No","NA","NA","No","1.TRBO"
"1","VAME","No","NA","Yes","NA","Yes","1.VAME"
"1","VASI","NA","No","NA","NA","No","1.VASI"
"2","ACCI","NA","No","NA","NA","No","2.ACCI"
"2","ACGL","NA","No","NA","NA","No","2.ACGL"
"2","ACMI","No","NA","NA","NA","No","2.ACMI"
"2","AMAL","NA","No","NA","NA","No","2.AMAL"
"2","ARUV","No","NA","NA","NA","No","2.ARUV"
"2","ATFI","NA","No","NA","NA","No","2.ATFI"
"2","CAME","NA","No","NA","NA","No","2.CAME"
"2","CARU","No","NA","NA","NA","No","2.CARU"
"2","CEVE","No","NA","NA","NA","Yes","2.CEVE"
"2","CHUM","NA","No","NA","NA","No","2.CHUM"
"2","CLUN","NA","No","NA","NA","No","2.CLUN"
"2","COCA","NA","No","NA","NA","No","2.COCA"
"2","EPAN","No","NA","NA","NA","No","2.EPAN"
"2","GAOV","NA","No","NA","NA","No","2.GAOV"
"2","GASH","NA","No","NA","NA","No","2.GASH"
"2","GOOB","NA","No","NA","NA","No","2.GOOB"
"2","GYDR","NA","No","NA","NA","No","2.GYDR"
"2","HIAL","NA","No","NA","NA","No","2.HIAL"
"2","HODI","NA","No","Yes","NA","No","2.HODI"
