"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACMI",1,10,20,"Yes","Global_unavg",0.121755987811338,-3.79745936398687,-17.9955825669524,-12.3361521890761,2.59875065208038,0.129815771066884,14.7446865935883,40.7989166987135,16.2515473464651,9.90685555471668,8.34673697743483e-20,0.188848414916999,0.313261867879322,1.08482086443466e-05,0.824936458388241,0.363377757005358,0.0228431572706944,0.281652123508246,0.523830944080972,-4.85055381198142,-53.0924880418354,-41.3983267382669,1.45164104425648,-1.09345358769908,-14.1410673922566,10.1749165186034,-11.3589678637336,-19.6773203281914,-3.11229189677232,4.3745540854532,8.0011392677297,3.87297228915891,1.37943208690863,53.0136136545199,82.9479103518456,49.4489278603633,43.4026533576927
"ARUV",1,42,29,"Yes","Global_unavg",0.0480993976822204,-2.28040959202362,-21.5962761760837,-8.93718378183506,0.638685690920852,-0.343279375739654,9.55262433861942,22.1470760357948,3.48093362547574,2.88505007217342,5.07252544068489e-27,0.0019227976626945,0.131171399024462,0.223425775078202,0.263978253219054,0.502827501041235,0.0202328272281771,0.795180216031959,0.747453618599132,-2.74489828865002,-37.2257914608419,-21.6077723411258,-0.507397616330845,-0.948601559975928,-23.7130036891086,3.96700080185936,-25.6095534914717,-15.0570417934206,-1.90033843609445,-9.42252782033551,1.80433420811071,1.60503406741734,0.271637497865519,36.3242921893706,41.9646247999656,28.5133030007605,20.4661188124256
"CARU",1,33,21,"Yes","Global_unavg",0.0738217162349061,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822842,-1.20864953669283,12.8315383186532,8.55663184568778,7.32464849590913,-29.5883625764742,1.42756004345909e-28,0.0234860878202902,0.061034204933517,0.190808085986058,0.0269579156733729,0.36571695847442,0.563711835469722,0.600188763800969,0.0849126553488133,-3.00424553743435,-33.07495177204,-27.4509515268737,-0.46920324994651,-2.47455860270188,-17.6842451762024,-23.1740375494653,-23.0123905122941,-67.9833240659035,-2.10237978604698,-3.64240610498406,-0.558651255048252,1.71168096866067,-0.258853341808044,41.2884113890819,36.9576276742402,33.7590117983206,0.677500826737552
"CEVE",1,26,23,"Yes","Global_unavg",0.126340384656696,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.74968548956865,-0.595728831970265,2.8953905320225,15.9475406957487,-30.6734920484813,-2.42664940982126,6.81045494175324e-25,0.0529415145912755,0.0277241389573841,0.00255582057283688,0.19300767367717,0.870530062036214,0.253134814111664,0.150453406533387,0.868869990828859,-3.4757757760765,-37.7129136866702,-37.7601215801428,0.467894655833767,-1.57334244305644,-34.8636438825948,-12.0811677755275,-80.1556795666516,-33.5908843000064,-2.36640772438936,-1.70905668381882,-3.85751545028751,2.83474809355607,0.286910928976956,37.1917180636108,44.3752292789619,6.356283711334,25.4398895717235
"EPAN",1,18,24,"Yes","Global_unavg",0.125836263559397,-3.27081353062761,-1.48934084073627,-25.4282138865056,2.61539007510828,-0.0161748053398791,-12.6736538197246,3.34527023799043,13.2741608164252,29.8592654664698,2.32207809980963e-23,0.874926886211091,0.018444178333735,1.85094163990139e-07,0.970829025304309,0.361811719448761,0.782814981343646,0.371890879932561,0.0239658583399588,-4.02541824041008,-21.6358330583546,-49.6605687318366,1.63694411194669,-0.873763094955408,-41.5787732283091,-20.4065234697656,-15.9879675665426,4.98243903349537,-2.70650407490308,16.8936543342693,-6.85261115632467,3.63933411244351,0.901321058112942,14.4535421819891,28.1926733229482,43.5203854166954,57.734403972477
"PAMY",1,127,101,"Yes","Global_unavg",0.0450370952417883,-0.704733383418327,-10.7565459077929,-11.1839878274356,0.52016461661631,-0.403741186045193,4.29416476721794,2.65116460565442,-7.36189452560557,2.14921074736207,1.36431722698462e-09,0.0020200075243498,0.00143191711834115,0.17154176020405,0.0220295140392785,0.662914690844878,0.616881701491481,0.482469717028612,0.688021081701836,-0.937355681361205,-17.8184035136421,-18.3253263809024,-0.233503085068773,-0.75226635057583,-16.3322718377483,-7.83497788138104,-30.0850783453637,-8.46700279951734,-0.480565264904651,-4.10095725140397,-4.53312163918001,1.2731341238901,-0.0598717903222979,23.2148600218387,13.0196350235298,11.7007240425586,12.5865367899289
"VAME",1,95,115,"Yes","Global_unavg",0.107230719234102,-1.26780153074721,11.854921144131,-23.2036355349706,-2.50251590953927,0.399686949400734,60.7130399406007,-5.46119427325961,NA,NA,1.1479308490308e-20,0.00431211255656938,2.3770303246633e-13,0.0544996955655197,0.0249391354031189,0.025509953347049,0.33885655002542,NA,NA,-1.54215262107914,3.78833127808792,-29.6346307240069,-5.64583502376635,0.0514929002449326,15.4626547789163,-16.7466833880992,NA,NA,-1.00806982290988,20.1234213665141,-17.2036853695721,-0.529341128250394,0.750990732591877,121.644074899228,5.69554213247486,NA,NA
"ACMI",10,10,19,"Yes","Global_unavg",0.15570632943606,-3.79745937337048,-17.9955828942425,-12.3361524275376,2.71828672515567,-1.13454620891442,14.6643985294859,78.6433065091693,8.1019953407107,-10.2720647937029,8.40491574837096e-20,0.188890779587474,0.313296208874168,2.43293637497335e-06,0.347598537733665,0.376191875971252,0.0213007393278753,0.599694227102202,0.637600256696391,-4.85055458064794,-53.0925233783073,-41.3983430050605,1.6170840686629,-4.49468317808208,-15.2968119662912,28.509572003703,-20.8634701849982,-60.7599122477003,-3.11229207432665,4.37455352505082,8.00113102950138,3.97639489749573,0.718590897100953,53.3760266853256,169.850618425895,41.6150886036216,30.3366017820543
"ARUV",10,42,26,"Yes","Global_unavg",0.0523894606402945,-2.28040959202362,-21.5962761760837,-8.93718378183508,0.295803627409879,-0.456459938793923,6.28612635580904,20.3304624107999,9.34387890709832,1.14928963089105,5.0725254406847e-27,0.00192279766269449,0.131171399024461,0.619967901267069,0.15021709538469,0.677872532752289,0.0400173994309659,0.50426586634724,0.902612461692803,-2.74489828865002,-37.2257914608418,-21.6077723411258,-1.07542441514964,-1.08761269342756,-32.084349266965,1.16901218206282,-21.0402437363839,-17.900262519544,-1.90033843609445,-9.42252782033555,1.80433420811072,1.35614392697739,0.173418621455851,33.8072733336483,40.6989433263381,35.9374476338497,19.3853243873611
"CARU",10,33,22,"Yes","Global_unavg",0.0733977693065088,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822843,-1.17931504753531,12.8315383186532,5.24450642947033,7.3246484959091,-30.7171526208904,1.42756004345838e-28,0.0234860878202898,0.0610342049335171,0.190808085986057,0.0310933600174654,0.365716958474419,0.72590628140659,0.600188763800969,0.0730037012980529,-3.00424553743435,-33.07495177204,-27.4509515268737,-0.469203249946505,-2.44449867663353,-17.6842451762024,-27.1064763244834,-23.0123905122941,-68.9224298659075,-2.10237978604698,-3.64240610498404,-0.558651255048247,1.71168096866067,-0.228551590990411,41.2884113890819,33.5340967194285,33.7590117983207,-0.482191696870083
