"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"ACCI",1,72,58,"No","Global_unavg",0.245597171166315,-3.54029202724611,-97.887318659249,-39.1491958453313,0.0195935964726101,11.8638179769837,8.65028806355424,6.89497247149098e-08,1.05712621210275e-05,0.000743142157977067,0.983262669185416,0.707169987592715,0.597689795842235,-5.04097176148275,-148.037027097743,-64.4321295638604,-1.89654141485526,-52.4835260025984,-24.1704591011659,-2.45836191084317,-60.8024042844814,-18.7909383670432,1.88393671758037,74.6357987813251,41.068092698141
"ACGL",1,15,14,"No","Global_unavg",0.0797414942453196,-3.3749307525711,-19.468101672197,-8.76330785648452,-1.68908342162771,-61.4665461086415,-33.3293355076909,2.77845565252257e-23,0.08048883354636,0.356152761680786,0.186993896649041,0.147575157966765,0.194169348647265,-4.18990035535013,-46.9376895512261,-30.4708391225633,-5.08179418273014,-171.284212628232,-95.2595949346006,-2.79897117024065,-1.08566131058402,7.58777688531237,0.190836033482708,2.00227974844617,9.10614422977884
"AMAL",1,42,42,"No","Global_unavg",0.112797591041416,-2.77167621169968,-43.3033747393673,-19.9222147777271,0.108027995211837,3.98810036702311,2.91459438824752,8.58065006345958e-15,0.000443239201346653,0.0187314545355381,0.822733312126342,0.810587527124062,0.801151326410647,-3.61699851734171,-72.2301574626596,-38.6930778667558,-0.857722078567254,-29.2652557209757,-19.937504858962,-2.18447369809677,-23.1725915631651,-5.15343816663823,1.1135849688762,38.4792870675166,26.264011869826
"ATFI",1,24,30,"No","Global_unavg",0.0823695612606651,-3.03412486684239,-27.6814799431101,-5.12427771703635,0.0918454853296543,-6.88103307788119,-10.0783415147937,1.40536886574683e-21,0.00872003431819782,0.509531878986448,0.844941317653633,0.664681950988886,0.385838128583733,-3.79883549862031,-53.6492914606797,-22.5142030932056,-0.896066666868079,-40.2573121058549,-33.7690875181216,-2.49889022622621,-10.6875815427838,8.52164195872902,1.04428665043786,25.4638985190816,12.8717249106781
"CAME",1,32,28,"No","Global_unavg",0.40383613663502,-7.57587799747199,150.756744827161,-30.0982711783955,-0.673125307828155,14.6673973891534,-9.41319202463696,0.00683794934308694,0.0321400453417391,0.255846042746609,0.869400426351496,0.886482592614881,0.806695351535033,-14.4206644150473,53.2627075983928,-90.5574480417369,-9.15510744967274,-192.47340277531,-86.9022790142745,-3.7950887944302,319.572863828717,10.2266862749777,7.64238517195463,225.481146740389,66.9080515648372
"CHUM",1,61,49,"No","Global_unavg",0.160477491076927,-2.35952998268708,-44.2190874957777,-26.3488143190662,-1.17533091281543,-34.5316594458288,-11.0520703395727,4.24815702726355e-15,1.96134438601902e-05,0.00057521880311895,0.0877392541923432,0.140056182505861,0.440671078743244,-3.04085155619426,-67.5354904467186,-42.8943323962595,-2.72289451014284,-86.39852115254,-41.3341714917953,-1.84616668578281,-26.5730507213631,-12.7236188799878,0.0390626283694708,7.09622163333183,15.6485658644966
"CLUN",1,44,49,"No","Global_unavg",0.14324080474397,-2.9198308877392,-39.5768506205205,-43.1686405767364,0.0425282175146679,-8.20252768635165,1.70057489520191,1.00000534319632e-14,0.000837074717631035,5.81826474226727e-05,0.937443782304902,0.636998865834843,0.909380752195659,-3.78142570374883,-66.2892097178259,-66.6968978078816,-1.0556670395728,-43.4737082041877,-27.8982678214858,-2.28427529489374,-19.3678488772137,-24.3851340601051,1.12950681696193,26.2985646441964,31.5454520414071
"COCA",1,20,23,"No","Global_unavg",0.109091161061277,-3.52425648585645,-39.9137398530302,-13.6879478862336,-0.4620330970587,-22.3152797556597,-19.2059951953282,4.71101826623212e-13,0.0169700547324901,0.210687192451274,0.594713118479658,0.448920916423078,0.305642355360695,-4.79550289386181,-83.0045533892196,-39.4224087595518,-2.4521841137389,-88.4990002968087,-59.6129338979958,-2.77893011367756,-14.908344860669,4.44889683836382,1.21627795713417,34.8176053715615,16.6529122199153
"GAOV",1,11,9,"No","Global_unavg",0.0980181530547044,-4.22851865780571,-8.02421505148689,-43.3254747128731,-0.291334366744998,-0.184876378827399,-3.11400137589368,2.48595810500736e-12,0.601881189765351,0.0230402069457,0.753863158991635,0.993669110894989,0.914958424076023,-5.75501038895731,-43.6535047789829,-88.9457174565881,-2.3668322741799,-49.3908937693727,-65.6686694434752,-3.29343437814557,20.4423614547977,-12.6683581281027,1.58934950721444,46.8115466421839,54.8065329300765
"GASH",1,21,19,"No","Global_unavg",0.203094042950637,-4.7238161250871,-75.1274070227399,-7.56669524933408,0.221139282801241,5.48107982068201,-6.78870556429578,0.000259587241850828,0.0712097844613575,0.667785112450297,0.894909991151285,0.919862984977697,0.777991290098378,-8.5258721087435,-194.046673874428,-53.4861117830422,-3.2976249141713,-107.952256716614,-56.2914831608284,-3.19153408977378,-26.5150139359205,17.3921143684684,4.34327581474725,135.668694170756,45.9585436374764
"GOOB",1,20,42,"No","Global_unavg",0.124160110517244,-3.16782529889963,-23.4804471224958,-13.9939809024679,0.081427147028406,-31.6851640224945,-14.3268972512893,1.44467805142747e-21,0.0348111286034373,0.134574817499321,0.885438230280095,0.0992134283783175,0.301444432548316,-3.96411079815189,-50.3720948368231,-35.1900757867919,-1.14341398722099,-72.9646512897472,-42.3825601485409,-2.610561888832,-5.18229262701956,2.09111481621817,1.16973708148797,5.40404048893069,13.2617957651717
"GYDR",1,17,22,"No","Global_unavg",0.0675725332391315,-3.55417796748611,-33.4456067824976,-16.9874285630087,0.399195354725395,6.24365307192188,-0.78626281727072,7.39741753782581e-15,0.0321110733231927,0.142856897184447,0.488677634884915,0.750052469240498,0.958669061945435,-4.73051110936121,-73.2376186152476,-44.2456104311014,-0.716928236456052,-31.4658946017667,-30.3330265185127,-2.8405355638689,-9.51162319210848,2.23705810441463,1.70956349341918,50.5552476748932,31.209282345531
"HIAL",1,12,10,"No","Global_unavg",0.0913141087680965,-3.8532316954205,-30.8317948687746,-14.1743277115828,-1.15623629427203,-34.5051788235424,-3.35957901977881,2.91860546019936e-14,0.0743053059309875,0.271398150845476,0.40413677527032,0.457144386869195,0.892711162549722,-5.21805483627627,-76.9938890731828,-45.3713886219926,-5.2406765039093,-166.371582407373,-64.9629487803645,-3.07729286668361,-5.14574215531998,6.77561640598801,0.966179655669017,37.2019878290729,40.8667008470393
