"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACCI",1,72,58,"No","Unavg",0.245078272792766,-3.37897981400261,-92.1959470204644,-34.9999918801807,-0.314787127707713,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg",0.0651197343902853,-3.68773148577842,-32.240602392869,-15.486077934095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg",0.115780254955134,-3.6687749680583,-11.9688011114786,NA,NA,NA,NA,2.53556418397721,0.030623053294015,8.89758464550753,33.2023087782733,NA,NA
"AMAL",1,42,42,"No","Unavg",0.112665295042939,-2.71461013098118,-41.2073404507919,-18.4035264225682,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,42,29,"Yes","Unavg",0.0478129335562277,-2.25984542656996,-20.6737815125798,-7.45574709401339,NA,NA,NA,0.627547892176271,-0.375586792987602,8.04148253649254,21.1895766631502,NA,NA
"ATFI",1,24,30,"No","Unavg",0.0782741196849611,-2.97094870579842,-30.9309543426778,-10.1848634836217,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",1,32,28,"No","Unavg",0.402262926207377,-7.91156943527104,158.089604346115,-34.8137659022522,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg",0.0557125747591133,-2.50127844892544,-12.1460923310054,-16.5570620471098,NA,NA,NA,0.677291537671208,-0.687220090417961,NA,NA,NA,NA
"CEVE",1,26,23,"Yes","Unavg",0.113350685787733,-2.88099529677339,-12.3341004612631,-23.9917726690354,NA,NA,NA,1.98119649017956,-0.65191079907292,NA,NA,NA,NA
"CHUM",1,61,49,"No","Unavg",0.159473202008313,-2.46922256470439,-48.0933365473283,-29.9696715980485,-0.743337353856392,-19.3236195573328,NA,NA,NA,NA,NA,NA,NA
"CLUN",1,44,49,"No","Unavg",0.141198037047844,-2.88490970792796,-43.5562796086782,-41.929181020989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",1,20,23,"No","Unavg",0.104890458327942,-3.68799230637079,-49.131338974413,-22.1090260144003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg",0.10289658630711,-3.03046416766277,-3.41461538223512,-9.9988250352344,NA,NA,NA,2.41364655830324,-0.324002142104467,NA,NA,NA,NA
"GAOV",1,11,9,"No","Unavg",0.096856471565593,-4.36331124893833,-8.11099485904441,-44.6830742741502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",1,21,19,"No","Unavg",0.196504419558558,-4.03390916384498,-51.3762792771032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",1,20,42,"No","Unavg",0.11727849075356,-3.53556030515699,-39.6286786728771,-20.7471728976997,0.848079849830325,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",1,17,22,"No","Unavg",0.0643996890606674,-3.3289554117424,-29.6633773732086,-17.2218788146455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",1,12,10,"No","Unavg",0.0719402668804947,-3.86758329650047,-26.2871011866652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg",0.172043555711588,-4.45840841677947,-66.8236241586892,-21.4935353761449,-2.31983662097714,-46.724082297136,NA,NA,NA,NA,NA,NA,NA
"LIBO",1,48,67,"No","Unavg",0.208610567120926,-3.72079401776534,-83.688642486252,-43.1105870400875,0.466016658400401,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",1,61,57,"No","Unavg",0.26070772233549,-4.7211386783138,-127.904799245803,-52.5281928639053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",1,26,12,"No","Unavg",0.0692406975871295,-2.61930086176514,7.07833882444437,-4.88207782983459,-1.81772403388315,19.1326307953303,-42.3744224051078,NA,NA,NA,NA,NA,NA
"OPHO",1,29,16,"No","Unavg",0.127616014971993,-3.14102964885332,-39.2098281640495,-3.40140684445931,-0.753587042251452,-0.378889978846384,-29.4733425343658,NA,NA,NA,NA,NA,NA
