"","species","min.raw.leg","min.raw.res","max.raw.leg","max.raw.res","med.leg","med.res","min.025.leg","min.025.res","max.975.leg","max.975.res","Species","fire","rear.change.raw","rear.change.perc","med.change","lead.change.raw","lead.change.perc"
"1","V1",162,162,1282,1282,682.5,710.925,293.375,276.646,1154.35,1089.4915,"ACCI","no",0,-16.729,28.425,0,-64.8585000000003
"2","V2",347,442.76,1439,1163.93,838,788.045,376.05,464.222,1419.05,1122.7405,"ACGL","no",95.76,88.172,-49.955,-275.07,-296.3095
"3","V3",383,343.16,1382,1413,721,732.415,408.55,355.6185,1348.425,1369.09525,"AMAL","no",-39.84,-52.9315,11.415,31,20.6702499999999
"4","V4",274,263.92,1428,1385.9,723.5,802.465,277.45,277.026,1395.8,1293.94925,"ATFI","no",-10.08,-0.423999999999978,78.965,-42.0999999999999,-101.85075
"5","V5",1409,1221.43,2069,2063.25,1840,1741.065,1458.6,1463.72375,2055.825,2039.74525,"CAME","no",-187.57,5.1237500000002,-98.9349999999999,-5.75,-16.0797499999999
"6","V6",442,329,1601,1305.27,782,721.555,508.5,397.16925,1548.5,1176.336,"CHUM","no",-113,-111.33075,-60.4450000000001,-295.73,-372.164
"7","V7",378,377.44,1483,1371.08,860.5,830.645,543.75,457.0385,1409.925,1320.33125,"CLUN","no",-0.560000000000002,-86.7115,-29.855,-111.92,-89.59375
"8","V8",162,378,1195,1237.45,696,695.945,218.05,397.265,1192.15,1217.208,"COCA","no",216,179.215,-0.05499999999995,42.45,25.058
"9","V9",311,512.85,869,948.66,730,753.36,320.9,523.59325,853.325,928.62575,"COST","no",201.85,202.69325,23.36,79.66,75.30075
"10","V10",592,689.45,1489,1472.23,1039,1060.36,620.5,723.6285,1470,1447.8115,"GAOV","no",97.45,103.1285,21.3599999999999,-16.77,-22.1885
"11","V11",162,314.12,1037,1144.88,592,594.24,236.5,334.2745,992.5,1092.2875,"GASH","no",152.12,97.7745,2.24000000000001,107.88,99.7874999999999
"12","V12",408,303.7,1569,1559.7,834.5,795.84,458.35,431.87225,1560.45,1433.2215,"GOOB","no",-104.3,-26.47775,-38.66,-9.29999999999995,-127.2285
"13","V13",280,274,1394,1690.32,828,859.84,319.2,344.794,1314.4,1495.6145,"GYDR","no",-6,25.594,31.84,296.32,181.214499999999
"14","V14",374,410.28,1340,1332.93,769,595.53,412.5,428.54025,1319.1,1286.38375,"HIAL","no",36.28,16.04025,-173.47,-7.06999999999994,-32.7162499999999
"15","V15",335,314.72,1382,829.06,641,581.14,373,338.2035,1204.4,797.863,"HODI","no",-20.28,-34.7965,-59.86,-552.94,-406.537
"16","V16",396,378,1282,1209.12,768,721.25,440.3,390.3495,1179.9,1141.44325,"LIBO","no",-18,-49.9505,-46.75,-72.8800000000001,-38.4567499999998
