"new_Model_id","X.Intercept.","AIC","logLik","Elevation.m","Elevation.m2","New.Data.TypeResurvey.Burned","New.Data.TypeResurvey.Unburned","Elevation.m.New.Data.TypeResurvey.Burned","Elevation.m.New.Data.TypeResurvey.Unburned","Elevation.m2.New.Data.TypeResurvey.Burned","Elevation.m2.New.Data.TypeResurvey.Unburned","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type"
"Mod.0",-2.45958884180335,142.046234715853,-70.0231173579263,NA,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.1",-2.46019037403888,144.019908936057,-70.0099544680283,0.602107943016848,NA,NA,NA,NA,NA,NA,NA,"1",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.13",-3.31440675897303,132.435547000748,-60.2177735003741,-8.26094134932655,NA,2.15762897259387,0.102995016133521,6.40677411481723,27.2988921606636,NA,NA,"13",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.15",-3.35779625994815,133.91811806816,-59.9590590340799,-9.89320578776,-3.19577114170998,2.25188909336377,0.0055624964061855,7.17401772737097,32.4098290753903,NA,NA,"15",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.3",-2.47256292073706,145.451174514336,-69.7255872571678,0.535088466423062,2.69967819439571,NA,NA,NA,NA,NA,NA,"3",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.31",-3.78575259997905,135.322869451994,-58.6614347259971,-18.3105377741844,-15.1259429892658,2.57096617473444,-0.243825975203032,17.0483231400139,54.8271853299243,17.6611147606558,1.33011650465465,"31",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.4",-3.19458313229914,133.28984131807,-63.6449206590351,NA,NA,2.05960319946016,0.555525802683881,NA,NA,NA,NA,"4",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.5",-3.19830014820867,135.140187086377,-63.5700935431885,1.43095747471744,NA,2.07394556606633,0.550750357351737,NA,NA,NA,NA,"5",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.7",-3.19997462094023,137.081813857433,-63.5409069287166,1.42908956511808,0.909054659552765,2.05496939430681,0.558856134505121,NA,NA,NA,NA,"7",FALSE,FALSE,FALSE,"ACMI",1,5,15,"Yes","Unavg.w.warn"
"Mod.0",-1.45667515788167,248.245529056952,-123.122764528476,NA,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,FALSE,FALSE,"ARUV",1,27,21,"Yes","Unavg.w.warn"
"Mod.1",-1.54975181759265,239.325681190174,-117.662840595087,-8.82534115206392,NA,NA,NA,NA,NA,NA,NA,"1",FALSE,FALSE,FALSE,"ARUV",1,27,21,"Yes","Unavg.w.warn"
"Mod.13",-1.51980407624725,242.610857332005,-115.305428666002,-14.0130329366102,NA,-0.256020043974256,-0.0865453832391221,7.47360391008868,11.9459433429605,NA,NA,"13",FALSE,FALSE,FALSE,"ARUV",1,27,21,"Yes","Unavg.w.warn"
"Mod.15",-1.68575703753866,240.038354969399,-113.0191774847,-18.5241494062981,-6.89467542877456,-0.0703135860827667,-0.0377108179870649,8.33563347521985,16.9632412289306,NA,NA,"15",FALSE,FALSE,FALSE,"ARUV",1,27,21,"Yes","Unavg.w.warn"
