"","NAME","Plot.Name.1980","Plot.Name.2015","Longitude","Latitude"
"1","North Cascades","4045","ROSS4045",-121.01142,48.75899
"1.1","North Cascades","4043","ROSS4043",-121.02681,48.77073
"1.2","North Cascades","4041","ROSS4041",-121.02908,48.76758
"1.3","North Cascades","4037","ROSS4037",-121.03577,48.77232
"1.4","North Cascades","4039","ROSS4039",-121.03171,48.77048
"1.5","North Cascades","4049","ROSS4049",-121.01009,48.75209
"1.6","North Cascades","4051","ROSS4051",-121.01085,48.74533
"1.7","North Cascades","4047","ROSS4047",-121.01104,48.75274
"1.8","North Cascades","3032","BBCR3032",-121.07722,48.78304
"1.9","North Cascades","3028","BBCR3028",-121.08116,48.78908
"1.10","North Cascades","6075","BBCR6075",-121.1638,48.80994
"1.11","North Cascades","6071","BBCR6071",-121.17931,48.81251
"1.12","North Cascades","3030","BBCR3030",-121.10643,48.80013
"1.13","North Cascades","6077","BBCR6077",-121.12795,48.80367
"1.14","North Cascades","6073","BBCR6073",-121.16915,48.80935
"1.15","North Cascades","3034","BBCR3034",-121.135188,48.804413
"1.16","North Cascades","3048","ROSS3048",-121.05636,48.74236
"1.17","North Cascades","3046","ROSS3046",-121.04327,48.74461
"1.18","North Cascades","4001","ROSS4001",-121.03062,48.75378
"1.19","North Cascades","3044","ROSS3044",-121.03985,48.7588
"1.20","North Cascades","3042","ROSS3042",-121.06889,48.77108
"1.21","North Cascades","3036","ROSS3036",-121.05984,48.77705
"1.22","North Cascades","3040","ROSS3040",-121.06618,48.77438
"1.23","North Cascades","4001","ROSS4001REF",-121.03737,48.74877
"2","East Cascades","5148","HB5148",-120.83835,48.45824
"2.1","East Cascades","5154","BRCR5154",-120.85244,48.45163
"2.2","East Cascades","5156","BRCR5156",-120.86369,48.44254
"2.3","East Cascades","5128","BRCR5128",-120.87115,48.43329
"2.4","East Cascades","5143","COT5143",-120.98038,48.45184
"2.5","East Cascades","5145","COT5145",-120.96599,48.4509
"2.6","East Cascades","5141","COT5141",-120.98933,48.45143
"2.7","East Cascades","5147","BRCR5147",-120.94338,48.44664
"2.8","East Cascades","5142","BRCR5142",-120.87373,48.43559
"2.9","East Cascades","5126","BRCR5126",-120.91614,48.43424
"2.10","East Cascades","5146","HB5146",-120.83999,48.45761
"2.11","East Cascades","2098","STE2098",-120.69949,48.32906
"2.12","East Cascades","5158","HB5158",-120.82553,48.42553
"2.13","East Cascades","5160","HIBR5160",-120.84525,48.39343
"2.14","East Cascades","2050","STE2050",-120.75068,48.36897
"2.15","East Cascades","2068","HB2068",-120.85091,48.37327
"2.16","East Cascades","2084","STE2084",-120.75427,48.34637
"2.17","East Cascades","2096","STE2096",-120.69228,48.32316
"2.18","East Cascades","2094","STE2094",-120.69392,48.30544
"2.19","East Cascades","2092","STE2092",-120.69582,48.30348
"2.20","East Cascades","2070","STE2070",-120.84105,48.37824
"2.21","East Cascades","2024","STE2024",-120.6906,48.36269
