Plot,Species.Code,Cover.Class,Elevation.m,Year,Data.Type
BBCR3028,ACCI,3,539,2015,Resurvey
BBCR3028,CHUM,1,539,2015,Resurvey
BBCR3028,MANE,2,539,2015,Resurvey
BBCR3028,LIBO,1,539,2015,Resurvey
BBCR3028,PTAQ,3,539,2015,Resurvey
BBCR3028,MOSS,2,539,2015,Resurvey
BBCR3028,CLUN,1,539,2015,Resurvey
BBCR3028,VISE,1,539,2015,Resurvey
BBCR3028,SOSC?,1,539,2015,Resurvey
BBCR3028,VAPA,1,539,2015,Resurvey
BBCR3028,TRBO,1,539,2015,Resurvey
BBCR3028,PAMY,1,539,2015,Resurvey
BBCR3028,VAME,1,539,2015,Resurvey
BBCR3030,LAMU,1,529,2015,Resurvey
BBCR3030,TROV,1,529,2015,Resurvey
BBCR3030,ACRU,1,529,2015,Resurvey
BBCR3030,MAST,1,529,2015,Resurvey
BBCR3030,RILA,1,529,2015,Resurvey
BBCR3030,MOSS,3,529,2015,Resurvey
BBCR3030,CLUN,2,529,2015,Resurvey
BBCR3030,ASCA,2,529,2015,Resurvey
BBCR3030,VASI,2,529,2015,Resurvey
BBCR3030,GAAP,1,529,2015,Resurvey
BBCR3030,ATFI,3,529,2015,Resurvey
BBCR3030,AQFO,1,529,2015,Resurvey
BBCR3030,TITR,2,529,2015,Resurvey
BBCR3032,MANE,2,529,2015,Resurvey
BBCR3032,MOSS,4,529,2015,Resurvey
BBCR3032,PTAQ,1,529,2015,Resurvey
BBCR3032,ACCI,1,529,2015,Resurvey
BBCR3032,VIOR,1,529,2015,Resurvey
BBCR3032,TABR,1,529,2015,Resurvey
BBCR3032,VAPA,1,529,2015,Resurvey
BBCR3032,PAMY,1,529,2015,Resurvey
BBCR3032,ROGY,1,529,2015,Resurvey
BBCR3032,TRBO,1,529,2015,Resurvey
BBCR3032,LIBO,1,529,2015,Resurvey
BBCR3034,SPDO,1,511,2015,Resurvey
BBCR3034,CAXX,2,511,2015,Resurvey
BBCR3034,METR,3,511,2015,Resurvey
BBCR3034,LOIN,1,511,2015,Resurvey
BBCR3034,unk1,1,511,2015,Resurvey
BBCR3034,COST,1,511,2015,Resurvey
BBCR3034,GATR,1,511,2015,Resurvey
BBCR3034,ERAN,1,511,2015,Resurvey
BBCR3034,MOSS,4,511,2015,Resurvey
BBCR3034,ANOR?,1,511,2015,Resurvey
BBCR3034,VAUL,1,511,2015,Resurvey
BBCR3034,POPA?,1,511,2015,Resurvey
BBCR3034,TRBO,1,511,2015,Resurvey
BBCR3034,EQVA,1,511,2015,Resurvey
BBCR3034,PLDI,1,511,2015,Resurvey
BBCR3034,LYAM,2,511,2015,Resurvey
BBCR3034,DRRO,1,511,2015,Resurvey
BBCR3034,EQFL,1,511,2015,Resurvey
BBCR6071,GAAP,1,616,2015,Resurvey
BBCR6071,OPHO,2,616,2015,Resurvey
BBCR6071,LIBO,1,616,2015,Resurvey
BBCR6071,MOSS,3,616,2015,Resurvey
BBCR6071,RUPA,2,616,2015,Resurvey
BBCR6071,ROGY,1,616,2015,Resurvey
BBCR6071,GYDR,1,616,2015,Resurvey
BBCR6071,TITR,1,616,2015,Resurvey
BBCR6071,ADBI,1,616,2015,Resurvey
BBCR6071,CLUN,2,616,2015,Resurvey
BBCR6071,TROV,1,616,2015,Resurvey
BBCR6071,MAST,2,616,2015,Resurvey
BBCR6071,ASCA,1,616,2015,Resurvey
BBCR6071,COCA,1,616,2015,Resurvey
BBCR6071,VAPA,3,616,2015,Resurvey
BBCR6071,SOSC,1,616,2015,Resurvey
BBCR6071,STAM,1,616,2015,Resurvey
BBCR6071,ACCI,2,616,2015,Resurvey
BBCR6073,CAXX,2,570,2015,Resurvey
BBCR6073,SALU,2,570,2015,Resurvey
BBCR6073,VIPA,2,570,2015,Resurvey
BBCR6073,SAPL?,4,570,2015,Resurvey
BBCR6073,SPPY,1,570,2015,Resurvey
BBCR6073,RIXX,1,570,2015,Resurvey
BBCR6073,MOSS,2,570,2015,Resurvey
BBCR6073,GAAP,1,570,2015,Resurvey
BBCR6073,EQVA,1,570,2015,Resurvey
BBCR6073,SASC,2,570,2015,Resurvey
BBCR6073,EQFL,1,570,2015,Resurvey
BBCR6075,GOOB,1,607,2015,Resurvey
BBCR6075,ATFI,1,607,2015,Resurvey
BBCR6075,GYDR,1,607,2015,Resurvey
BBCR6075,VAAL,1,607,2015,Resurvey
