"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACMI",1,5,15,"Yes","Avg.Confidence",-4.27723484379268,-21.8940136790795,-5.704837826573,NA,NA,NA,0.890784356148466,-1.37764238079586,-12.6503716203222,-14.0602982919786,NA,NA,-2.29756509296311,9.70438017554188,4.27422994898364,NA,NA,NA,3.40659198254822,1.81736193394591,21.8808153432218,54.2151568937996,NA,NA
"ARUV",1,27,21,"Yes","Avg.Confidence",-2.04255815169617,-21.9227922920954,-11.660546142658,NA,NA,NA,-0.537544043851536,-0.356052269038363,-8.62175328229816,-11.5882685514725,NA,NA,-1.1861804847662,-1.86325733528505,3.31166457640984,NA,NA,NA,0.510146054370904,0.341358087556858,11.8697685093931,18.1980680317691,NA,NA
"CARU",1,28,17,"Yes","Avg.Confidence",-2.22390341985041,-21.7751478869668,-20.7264332421473,NA,NA,NA,-1.19069010885093,-3.44864322031723,-11.0485408739834,-20.3362608304018,-10.0238705526655,-54.1561330231549,-1.07923942039106,-2.83631644047605,-3.52664218693815,NA,NA,NA,0.730017488058994,1.49248478598908,17.8737612164912,17.8380014084483,14.8030908932967,30.4789217031342
"CEVE",1,23,21,"Yes","Avg.Confidence",-2.77742803152132,-30.8660145797974,-29.7773508723934,NA,NA,NA,-0.332502068448212,-2.22283202883681,-18.2674266622106,-13.4700733642559,-29.7329271176689,-33.929948242227,-1.29455274517402,-1.8989519811259,-5.17400098693243,NA,NA,NA,2.11044525791366,0.728849095398062,23.5844711241736,41.5211890669141,17.3313799304127,19.9133592395465
"EPAN",1,6,16,"Yes","Avg.Confidence",-4.46762454012198,-27.7845880902447,-23.4068684224852,NA,NA,NA,1.4272786254258,-1.51035912477029,NA,NA,NA,NA,-2.52658634505949,-3.45410851998657,-1.48639747914284,NA,NA,NA,3.76596589353696,1.18469992307751,NA,NA,NA,NA
"PAMY",1,67,61,"Yes","Avg.Confidence",-0.272283410576095,-11.7669864615149,-12.4890930039638,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248664319579362,-3.04540712620024,-3.71795850097399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",1,23,42,"Yes","Avg.Confidence",-2.42036788522357,1.73134493540011,-22.5288477507607,NA,NA,NA,-3.31012551098811,0.53411711794206,-19.4790016203547,-14.6476828955003,NA,NA,-1.29952835667463,21.1848990180005,-7.74738392064032,NA,NA,NA,1.31594579544335,1.89377877876021,57.6607165604829,8.83381353879735,NA,NA
"ACMI",10,5,14,"Yes","Avg.Confidence",-4.43824897732306,-28.3321794886895,-12.9541588431471,NA,NA,NA,0.92578357851313,-2.75004949197769,-13.7043948390877,3.65733037911619,NA,NA,-2.31811196784211,8.17009730109929,6.46883541252904,NA,NA,NA,3.58730968464245,1.53320750856526,27.8652180455789,75.7117512520108,NA,NA
"ARUV",10,27,19,"Yes","Avg.Confidence",-2.09625921364599,-23.2995160491081,-11.1857168229996,NA,NA,NA,-0.980584608763488,-0.485816671346489,-10.3197814184923,-12.9542733695728,NA,NA,-1.20245206444692,-1.60091199361436,3.66781136766953,NA,NA,NA,0.711084892464849,0.410752755681335,12.9765756384264,23.6430429202647,NA,NA
"CARU",10,28,18,"Yes","Avg.Confidence",-2.23929795518629,-22.2083594899083,-21.1560603174762,NA,NA,NA,-1.12954132668661,-3.83165221485204,-11.1576488042039,-27.7462705582829,-10.1684277118382,-62.2014826155203,-1.10069730050434,-3.27787889313499,-3.65944584853044,NA,NA,NA,0.723263036062849,1.78709030895494,18.3312030847033,20.0357832102384,15.1915617370451,33.8912306900942
"EPAN",10,6,16,"Yes","Avg.Confidence",-4.49123858273181,-26.1638081978419,-26.0802167665682,NA,NA,NA,1.34236431826555,-1.17744682297361,NA,NA,NA,NA,-2.53999233068371,-2.07276790564645,-3.33061021054842,NA,NA,NA,3.71282116789227,1.35094681319536,NA,NA,NA,NA
"PAMY",10,67,65,"Yes","Avg.Confidence",-0.216128456714886,-13.704230005512,-12.6911808015497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312240026614853,-4.79993160698318,-3.77559327942453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",10,23,43,"Yes","Avg.Confidence",-2.52489358556659,1.64730059285774,-24.3173103475663,NA,NA,NA,-2.73925194756125,0.524845318719983,-0.815519164945462,-19.9307409711506,NA,NA,-1.36841777118499,23.7885038157749,-9.34830018131045,NA,NA,NA,0.852891956985375,1.9085886425323,55.3969750357141,7.83158052188649,NA,NA
"ACMI",100,5,14,"Yes","Avg.Confidence",-4.26221512086634,-20.5377154328212,-7.78057733884717,NA,NA,NA,0.896294790560429,-1.44974046914708,-12.3367003279766,-21.6391401603775,NA,NA,-2.28988392502227,11.4035442321854,5.25683137820634,NA,NA,NA,3.41100432294396,1.72275022083532,20.1002883188156,50.9252201287268,NA,NA
