"","Latitude","Longitude","Elevation","PlotName","Type","Year","Size","Severity","Richness"
"1",48.30794,-120.62097,1320,"Ste2039","Human","2006",7882.87919270873,1,3
"2",48.30852,-120.63457,983,"STE2041","Human","2006",7882.87919270873,2,4
"3",48.31108,-120.64748,634,"STE2045","Human","2006",7882.87919270873,2,2
"4",48.31108,-120.64748,634,"STE2045","IMUS CREEK","2006",238.967681138677,2,2
"5",48.31152,-120.64018,783,"STE2043","Human","2006",7882.87919270873,1,2
"6",48.31152,-120.64018,783,"STE2043","IMUS CREEK","2006",238.967681138677,1,2
"7",48.31221,-120.61115,1722,"Ste2027","Human","2006",7882.87919270873,2,5
"8",48.31281,-120.61086,1724,"Ste2029","Human","2006",7882.87919270873,1,4
"9",48.33333,-120.68734,403,"STE2040","RX","1990",45.1901512145996,NA,1
"10",48.33333,-120.68734,403,"STE2040","RX","2002",132.25993347168,NA,1
"11",48.33444,-120.58569,2051,"Ste2035","Lightning","1994",7271.35560811378,4,4
"12",48.33995,-120.68851,557,"STE2038","Lightning","2010",3633.5438710668,3,3
"13",48.34107,-120.70263,374,"STE2042","RX","1993",18.1236305236816,NA,2
"14",48.34107,-120.70263,374,"STE2042","RX","2002",53.4831008911133,NA,2
"15",48.34107,-120.70263,374,"STE2042","Underburn","2002",22.1258929996226,NA,2
"16",48.34336,-120.69005,686,"STE2036","Lightning","2010",3633.5438710668,1,3
"17",48.34463,-120.68139,838,"STE2001","Lightning","2010",3633.5438710668,3,3
"18",48.34463,-120.68139,838,"STE2001","UPPER RAINBOW","2010",344.457787026231,3,3
"19",48.3455,-120.69481,609,"STE2046","Lightning","2010",3633.5438710668,3,5
"20",48.3455,-120.69481,609,"STE2046","UPPER RAINBOW","2010",344.457787026231,3,5
"21",48.34626,-120.72924,430,"STE2088","Underburn","2004",11.7291190488978,NA,3
"22",48.34626,-120.72459,383,"STE2090","RX","1997",69.492546081543,NA,5
"23",48.34626,-120.72459,383,"STE2090","Underburn","2004",76.6124530865842,NA,5
"24",48.3468,-120.69739,630,"STE2044","Lightning","2010",3633.5438710668,2,4
"25",48.3468,-120.69739,630,"STE2044","UPPER RAINBOW","2010",344.457787026231,2,4
"26",48.34819,-120.66803,982,"STE2003","Lightning","1994",7271.35560811378,NA,5
"27",48.34819,-120.66803,982,"STE2003","Lightning","2010",3633.5438710668,3,5
"28",48.35031,-120.58418,1899,"Ste2025","Lightning","1994",7271.35560811378,NA,7
"29",48.35226,-120.69578,865,"STE2002","Lightning","2010",3633.5438710668,2,4
"30",48.35242,-120.69411,872,"STE2020","Lightning","2010",3633.5438710668,2,3
"31",48.35262,-120.58168,1802,"Ste2021","Lightning","1994",7271.35560811378,NA,2
"32",48.35408,-120.5808,1776,"Ste2023","Lightning","1994",7271.35560811378,NA,2
"33",48.35442,-120.58188,1775,"Ste2019","Lightning","1994",7271.35560811378,NA,3
"34",48.35617,-120.69366,941,"STE2022","Lightning","2010",3633.5438710668,2,5
"35",48.36243,-120.61331,1340,"Ste2005","Lightning","1994",7271.35560811378,2,4
"36",48.36243,-120.61331,1340,"Ste2005","Lightning","2014",2770,3,4
"37",48.36269,-120.6906,938,"STE2024","Lightning","2010",3633.5438710668,1,4
"38",48.36385,-120.59695,1546,"Ste2017","Lightning","1994",7271.35560811378,NA,3
"39",48.36385,-120.59695,1546,"Ste2017","Lightning","2014",2770,2,3
"40",48.36718,-120.61741,1502,"Ste2007","Lightning","1994",7271.35560811378,1,5
"41",48.36881,-120.60986,1601,"Ste2015","Lightning","1994",7271.35560811378,1,2
"42",48.36897,-120.75068,408,"STE2050","Hand Pile & Underburn","2009",25.445950441869,NA,5
"43",48.36897,-120.75068,408,"STE2050","RX","2009",25.4459495544434,NA,5
"44",48.37393,-120.61545,1504,"Ste2011","Lightning","1994",7271.35560811378,NA,1
"45",48.3763,-120.61662,1551,"Ste2009","Lightning","1994",7271.35560811378,NA,5
